date,count,,,date,,,date,,,,
2023/6/13,1,,,,,,2023/4/7,,,,
2023/6/12,1,,,,,,2023/4/6,,,,
2023/6/13,1,,,,,,2023/4/4,,,,
2023/6/14,1,,,,,,2023/4/3,,,,
2023/6/13,1,,,,,,2023/3/31,,,,
2023/6/13,1,,,,,,2023/3/30,,,,
2023/6/13,1,,,,,,2023/3/29,,,,
2023/6/14,1,,,,,,2023/3/28,,,,
2023/6/14,1,,,,,,2023/3/27,,,,
2023/6/15,1,,,,,,2023/3/24,,,,
2023/6/16,1,,,,,,2023/3/23,,,,
2023/6/14,1,,,,,,2023/3/22,,,,
2023/6/16,1,,,,,,2023/3/21,,,,
2023/6/12,1,,,,,,2023/3/20,,,,
2023/6/15,1,,,,,,2023/3/17,,,,
2023/6/12,1,,,,,,2023/3/16,,,,
2023/6/16,1,,,,,,2023/3/15,,,,
2023/6/13,1,,,,,,2023/3/14,,,,
2023/6/12,1,,,,,,2023/3/13,,,,
2023/6/14,1,,,,,,2023/3/10,,,,
2023/6/12,1,,,,,,2023/3/9,,,,
2023/6/14,1,,,,,,2023/3/8,,,,
2023/6/14,1,,,,,,2023/3/7,,,,
2023/6/14,1,,,,,,2023/3/6,,,,
2023/6/15,1,,,,,,2023/3/3,,,,
2023/6/13,1,,,,,,2023/3/2,,,,
2023/6/16,1,,,,,,2023/3/1,,,,
2023/6/13,1,,,,,,2023/2/28,,,,
2023/6/13,1,,,,,,2023/2/27,,,,
2023/6/14,1,,,,,,2023/2/24,,,,
2023/6/13,1,,,,,,2023/2/23,,,,
2023/6/13,1,,,,,,2023/2/22,,,,
2023/6/13,1,,,,,,2023/2/21,,,,
2023/6/14,1,,,,,,2023/2/20,,,,
2023/6/14,1,,,,,,2023/2/17,,,,
2023/6/13,1,,,,,,2023/2/16,,,,
2023/6/15,1,,,,,,2023/2/15,,,,
2023/6/13,1,,,,,,2023/2/14,,,,
2023/6/14,1,,,,,,2023/2/13,,,,
2023/6/13,1,,,,,,2023/2/10,,,,
2023/6/15,1,,,,,,2023/2/9,,,,
2023/6/13,1,,,,,,2023/2/8,,,,
2023/6/13,1,,,,,,2023/2/7,,,,
2023/6/13,1,,,,,,2023/2/6,,,,
2023/6/13,1,,,,,,2023/2/3,,,,
2023/6/13,1,,,,,,2023/2/2,,,,
2023/6/16,1,,,,,,2023/2/1,,,,
2023/6/13,1,,,,,,2023/1/31,,,,
2023/6/14,1,,,,,,2023/1/30,,,,
2023/6/16,1,,,,,,2023/1/20,,,,
2023/6/13,1,,,,,,2023/1/19,,,,
2023/6/15,1,,,,,,2023/1/18,,,,
2023/6/16,1,,,,,,2023/1/17,,,,
2023/6/14,1,,,,,,2023/1/16,,,,
2023/6/13,1,,,,,,2023/1/13,,,,
2023/6/29,1,,,,,,2023/1/12,,,,
2023/6/21,1,,,,,,2023/1/11,,,,
2023/6/15,1,,,,,,2023/1/10,,,,
2023/6/14,1,,,,,,2023/1/9,,,,
2023/6/14,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/13,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/28,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/14,1,,,,,,,,,,
2023/7/4,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/7/6,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/7/6,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/17,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/15,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/16,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/18,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/28,1,,,,,,,,,,
2023/7/5,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/28,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/28,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/19,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/20,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/29,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/30,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/21,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/28,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/30,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/28,1,,,,,,,,,,
2023/6/30,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/29,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
2023/6/26,1,,,,,,,,,,
2023/6/28,1,,,,,,,,,,
2023/6/27,1,,,,,,,,,,
